"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Extraction de gaz naturel (NAF rév. 2, niveau groupe, poste 06.2)";"Codes"
"idBank";"010537215";""
"Période";"";""
"2018-03";"94.77";"A"
"2018-02";"91.75";"A"
"2018-01";"99.65";"A"
"2017-12";"101.17";"A"
"2017-11";"106.64";"A"
"2017-10";"109.53";"A"
"2017-09";"104.42";"A"
"2017-08";"106.31";"A"
"2017-07";"98.98";"A"
"2017-06";"98.04";"A"
"2017-05";"101.09";"A"
"2017-04";"112.96";"A"
"2017-03";"115.12";"A"
"2017-02";"121.88";"A"
"2017-01";"89.96";"A"
"2016-12";"121.41";"A"
"2016-11";"116.85";"A"
"2016-10";"72.4";"A"
"2016-09";"124.78";"A"
"2016-08";"144.16";"A"
"2016-07";"145.18";"A"
"2016-06";"142.83";"A"
"2016-05";"143.4";"A"
"2016-04";"121.48";"A"
"2016-03";"153.99";"A"
"2016-02";"169.28";"A"
"2016-01";"138.95";"A"
"2015-12";"83.5";"A"
"2015-11";"89.13";"A"
"2015-10";"85.51";"A"
"2015-09";"94.07";"A"
"2015-08";"89.25";"A"
"2015-07";"106.98";"A"
"2015-06";"99.14";"A"
"2015-05";"113.82";"A"
"2015-04";"118.46";"A"
"2015-03";"79.86";"A"
"2015-02";"112.93";"A"
"2015-01";"127.34";"A"
"2014-12";"20.81";"A"
"2014-11";"20.74";"A"
"2014-10";"42.45";"A"
"2014-09";"23.84";"A"
"2014-08";"45.66";"A"
"2014-07";"17.09";"A"
"2014-06";"24.15";"A"
"2014-05";"42.92";"A"
"2014-04";"42.5";"A"
"2014-03";"40.77";"A"
"2014-02";"39.03";"A"
"2014-01";"14.07";"A"
"2013-12";"26.29";"A"
"2013-11";"46.94";"A"
"2013-10";"197.89";"A"
"2013-09";"482.83";"A"
"2013-08";"529.36";"A"
"2013-07";"559.23";"A"
"2013-06";"609.03";"A"
"2013-05";"592.3";"A"
"2013-04";"584.23";"A"
"2013-03";"574.14";"A"
"2013-02";"630.65";"A"
"2013-01";"598.92";"A"
"2012-12";"621.76";"A"
"2012-11";"619.35";"A"
"2012-10";"625.94";"A"
"2012-09";"666.39";"A"
"2012-08";"618.49";"A"
"2012-07";"616.96";"A"
"2012-06";"676.4";"A"
"2012-05";"616.21";"A"
"2012-04";"613.32";"A"
"2012-03";"607.63";"A"
"2012-02";"664.38";"A"
"2012-01";"658.96";"A"
"2011-12";"685.21";"A"
"2011-11";"672.01";"A"
"2011-10";"698.06";"A"
"2011-09";"460.05";"A"
"2011-08";"662.9";"A"
"2011-07";"690.85";"A"
"2011-06";"719.18";"A"
"2011-05";"663.37";"A"
"2011-04";"509.52";"A"
"2011-03";"540.5";"A"
"2011-02";"768.03";"A"
"2011-01";"821.25";"A"
"2010-12";"832.55";"A"
"2010-11";"1035.45";"A"
"2010-10";"754.06";"A"
"2010-09";"824.31";"A"
"2010-08";"837.82";"A"
"2010-07";"859.52";"A"
"2010-06";"732.73";"A"
"2010-05";"818.36";"A"
"2010-04";"729.11";"A"
"2010-03";"902.9";"A"
"2010-02";"853.52";"A"
"2010-01";"852.76";"A"
"2009-12";"808.94";"A"
"2009-11";"869.71";"A"
"2009-10";"922.02";"A"
"2009-09";"922.79";"A"
"2009-08";"897.61";"A"
"2009-07";"948.21";"A"
"2009-06";"932.21";"A"
"2009-05";"950.68";"A"
"2009-04";"962.97";"A"
